1	Anterior temporal lobe, medial part left
2	Anterior temporal lobe, medial part right
3	Anterior temporal lobe, lateral part left
4	Anterior temporal lobe, lateral part right
5	Gyri parahippocampalis et ambiens anterior part left
6	Gyri parahippocampalis et ambiens anterior part right
7	Superior temporal gyrus, middle part left
8	Superior temporal gyrus, middle part right
9	Medial and inferior temporal gyri anterior part left
10	Medial and inferior temporal gyri anterior part right
11	Lateral occipitotemporal gyrus, gyrus fusiformis anterior part left
12	Lateral occipitotemporal gyrus, gyrus fusiformis anterior part right
13	Insula right
14	Insula left
15	Occipital lobe right
16	Occipital lobe left
17	Gyri parahippocampalis et ambiens posterior part right
18	Gyri parahippocampalis et ambiens posterior part left
19	Lateral occipitotemporal gyrus, gyrus fusiformis posterior part right
20	Lateral occipitotemporal gyrus, gyrus fusiformis posterior part left
21	Medial and inferior temporal gyri posterior part right
22	Medial and inferior temporal gyri posterior part left
23	Superior temporal gyrus, posterior part right
24	Superior temporal gyrus, posterior part left
25	Cingulate gyrus, anterior part right
26	Cingulate gyrus, anterior part left
27	Cingulate gyrus, posterior part right
28	Cingulate gyrus, posterior part left
29	Frontal lobe right
30	Frontal lobe left
31	Parietal lobe right
32	Parietal lobe left
33	Temporal lobe left (merged region)
34	Temporal lobe right (merged region)
35	Superior temporal gyrus left (merged region)
36	Superior temporal gyrus right (merged region)
37	Medial and inferior temporal gyri left (merged region)
38	Medial and inferior temporal gyri right (merged region)
39	Lateral occipitotemporal gyrus, gyrus fusiformis left (merged region)
40	Lateral occipitotemporal gyrus, gyrus fusiformis right (merged region)
41	Cingulate gyrus left (merged region)
42	Cingulate gyrus right (merged region)
43	Gyri parahippocampalis et ambiens left (merged region)
44	Gyri parahippocampalis et ambiens right (merged region)
